time,Yaw,Vel,Ideal Vel L,Ideal Vel R,Vel L,Vel R,Cur X,Cur Y,Ideal x,Ideal y,Next Pos x,Next Pos y,L,dX,Theta,Curvature,velDif,Closest idx,left pos,right pos,Distance
0.0,-130.758594,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.186600,9.885358,0.186338,9.885055,-0.220113,9.410561,0.625178,0.001911,-2.279111,0.009780,-0.000000,0,0.697333,-0.340772,0.625178
0.0,-130.758594,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.186600,9.885358,0.186338,9.885055,-0.220113,9.410561,0.625178,0.001911,-2.279111,0.009780,-0.000000,0,0.697333,-0.340772,0.625178
0.0,-130.758594,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.186600,9.885358,0.186338,9.885055,-0.220113,9.410561,0.625178,0.001911,-2.279111,0.009780,-0.000000,0,0.697333,-0.340772,0.625178
0.0,-130.758594,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.186600,9.885358,0.186338,9.885055,-0.220113,9.410561,0.625178,0.001911,-2.279111,0.009780,-0.000000,0,0.697333,-0.340772,0.625178
0.0,-130.758594,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.186600,9.885358,0.186338,9.885055,-0.220113,9.410561,0.625178,0.001911,-2.279111,0.009780,-0.000000,0,0.697333,-0.340772,0.625178
0.0,-130.758594,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.186600,9.885358,0.186338,9.885055,-0.220113,9.410561,0.625178,0.001911,-2.279111,0.009780,-0.000000,0,0.697333,-0.340772,0.625178
0.0,-130.758594,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.186600,9.885358,0.186338,9.885055,-0.220113,9.410561,0.625178,0.001911,-2.279111,0.009780,-0.000000,0,0.697333,-0.340772,0.625178
0.0,-130.758594,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.186600,9.885358,0.186338,9.885055,-0.220113,9.410561,0.625178,0.001911,-2.279111,0.009780,-0.000000,0,0.697333,-0.340772,0.625178
0.0,-130.758594,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.186600,9.885358,0.186338,9.885055,-0.220113,9.410561,0.625178,0.001911,-2.279111,0.009780,-0.000000,0,0.697333,-0.340772,0.625178
0.0,-130.758594,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.186600,9.885358,0.186338,9.885055,-0.220113,9.410561,0.625178,0.001911,-2.279111,0.009780,-0.000000,0,0.697333,-0.340772,0.625178
0.0,-130.758594,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.186600,9.885358,0.186338,9.885055,-0.220113,9.410561,0.625178,0.001911,-2.279111,0.009780,-0.000000,0,0.697333,-0.340772,0.625178
0.0,-130.758594,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.186600,9.885358,0.186338,9.885055,-0.220113,9.410561,0.625178,0.001911,-2.279111,0.009780,-0.000000,0,0.697333,-0.340772,0.625178
0.0,-130.758594,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.186600,9.885358,0.186338,9.885055,-0.220113,9.410561,0.625178,0.001911,-2.279111,0.009780,-0.000000,0,0.697333,-0.340772,0.625178
0.0,-130.758594,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.186600,9.885358,0.186338,9.885055,-0.220113,9.410561,0.625178,0.001911,-2.279111,0.009780,-0.000000,0,0.697333,-0.340772,0.625178
0.0,-130.758594,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.186600,9.885358,0.186338,9.885055,-0.220113,9.410561,0.625178,0.001911,-2.279111,0.009780,-0.000000,0,0.697333,-0.340772,0.625178
0.0,-130.758594,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.186600,9.885358,0.186338,9.885055,-0.220113,9.410561,0.625178,0.001911,-2.279111,0.009780,-0.000000,0,0.697333,-0.340772,0.625178
