time,Yaw,Vel,Ideal Vel L,Ideal Vel R,Vel L,Vel R,Cur X,Cur Y,Ideal x,Ideal y,Next Pos x,Next Pos y,L,dX,Theta,Curvature,velDif,Closest idx,left pos,right pos,Distance
0.0,-105.444539,0.003906,0.003881,0.003932,0.000000,0.000000,1.305926,13.040861,1.305819,13.040476,1.139664,12.434343,0.628894,0.001261,-1.838349,0.006378,0.000025,0,0.090648,-0.817162,0.628894
0.0,-105.451399,0.003906,0.003978,0.003834,0.000000,0.000000,1.309814,13.036592,1.305393,13.038934,1.139664,12.434343,0.625824,-0.003549,-1.846145,-0.018122,-0.000072,1,0.090648,-0.817162,0.625824
0.0,-105.451399,0.003906,0.003978,0.003834,0.000000,0.000000,1.309814,13.036592,1.305393,13.038934,1.139664,12.434343,0.625824,-0.003549,-1.846145,-0.018122,-0.000072,1,0.090648,-0.817162,0.625824
0.0,-105.471817,0.003906,0.004117,0.003696,0.000000,0.000000,1.317014,13.036135,1.305393,13.038934,1.139664,12.434343,0.627381,-0.010387,-1.857387,-0.052778,-0.000210,1,0.090648,-0.817162,0.627381
0.0,-105.542379,0.003906,0.004492,0.003321,0.000000,0.000000,1.338692,13.038905,1.305393,13.038934,1.139664,12.434343,0.636481,-0.029757,-1.888831,-0.146908,-0.000585,1,0.090648,-0.817162,0.636481
0.0,-105.542379,0.003906,0.004492,0.003321,0.000000,0.000000,1.338692,13.038905,1.305393,13.038934,1.139664,12.434343,0.636481,-0.029757,-1.888831,-0.146908,-0.000585,1,0.090648,-0.817162,0.636481
0.0,-105.634890,0.003906,0.005068,0.002744,0.000000,0.000000,1.366067,13.046905,1.305393,13.038934,1.152256,12.480970,0.604978,-0.053377,-1.932021,-0.291680,-0.001162,1,0.090648,-0.817162,0.604978
0.0,-105.634890,0.003906,0.005068,0.002744,0.000000,0.000000,1.366067,13.046905,1.305393,13.038934,1.152256,12.480970,0.604978,-0.053377,-1.932021,-0.291680,-0.001162,1,0.090648,-0.817162,0.604978
0.0,-105.539355,0.003906,0.004353,0.003460,0.000000,0.000000,1.332741,13.043326,1.305393,13.038934,1.139664,12.434343,0.638857,-0.022873,-1.877819,-0.112083,-0.000447,1,0.090648,-0.817162,0.638857
0.0,-105.539355,0.003906,0.004353,0.003460,0.000000,0.000000,1.332741,13.043326,1.305393,13.038934,1.139664,12.434343,0.638857,-0.022873,-1.877819,-0.112083,-0.000447,1,0.090648,-0.817162,0.638857
0.0,-105.528141,0.003906,0.004321,0.003491,0.000000,0.000000,1.329235,13.038632,1.305393,13.038934,1.139664,12.434343,0.633327,-0.020876,-1.874783,-0.104095,-0.000415,1,0.090648,-0.817162,0.633327
0.0,-105.442310,0.003906,0.003829,0.003983,0.000000,0.000000,1.302061,13.036357,1.304488,13.035657,1.139664,12.434343,0.623533,0.003763,-1.834281,0.019357,0.000077,2,0.090648,-0.817162,0.623533
0.0,-105.442310,0.003906,0.003829,0.003983,0.000000,0.000000,1.302061,13.036357,1.304488,13.035657,1.139664,12.434343,0.623533,0.003763,-1.834281,0.019357,0.000077,2,0.090648,-0.817162,0.623533
0.0,-105.539191,0.003906,0.004367,0.003445,0.000000,0.000000,1.333608,13.043540,1.304488,13.035657,1.139664,12.434343,0.639324,-0.023652,-1.879011,-0.115735,-0.000461,2,0.090648,-0.817162,0.639324
0.0,-105.622537,0.003906,0.004825,0.002987,0.000000,0.000000,1.358111,13.056928,1.304488,13.035657,1.152256,12.480970,0.611641,-0.043146,-1.914060,-0.230660,-0.000919,2,0.090648,-0.817162,0.611641
0.0,-105.570670,0.003906,0.004499,0.003313,0.000000,0.000000,1.340143,13.054343,1.304488,13.035657,1.152256,12.480970,0.603373,-0.027083,-1.887458,-0.148786,-0.000593,2,0.090648,-0.817162,0.603373
0.0,-105.547155,0.003906,0.004290,0.003522,0.000000,0.000000,1.332048,13.050882,1.304488,13.035657,1.139664,12.434343,0.645857,-0.020094,-1.873262,-0.096341,-0.000384,2,0.090648,-0.817162,0.645857
0.0,-105.547155,0.003906,0.004290,0.003522,0.000000,0.000000,1.332048,13.050882,1.304488,13.035657,1.139664,12.434343,0.645857,-0.020094,-1.873262,-0.096341,-0.000384,2,0.090648,-0.817162,0.645857
0.0,-105.535231,0.003906,0.004241,0.003571,0.000000,0.000000,1.327785,13.046689,1.304488,13.035657,1.139664,12.434343,0.640592,-0.017244,-1.868859,-0.084042,-0.000335,2,0.090648,-0.817162,0.640592
